Date,Country,Name,Value
2023-10-01,Australia,Apparel,3148296
2023-11-01,Australia,Apparel,4331327
2023-12-01,Australia,Apparel,2263772
2024-01-01,Australia,Apparel,2867707
2024-02-01,Australia,Apparel,2904919
2024-03-01,Australia,Apparel,2492363
2024-04-01,Australia,Apparel,2244319
2024-05-01,Australia,Apparel,2588647
2024-06-01,Australia,Apparel,2900636
2024-07-01,Australia,Apparel,3118434
2024-08-01,Australia,Apparel,2962041
2024-09-01,Australia,Apparel,3113954
2024-10-01,Australia,Apparel,2697708
2024-11-01,Australia,Apparel,3456264
2024-12-01,Australia,Apparel,3332770
2020-01-01,Australia,Articles of Stones,124303
2020-02-01,Australia,Articles of Stones,63998
2020-03-01,Australia,Articles of Stones,3693
2020-04-01,Australia,Articles of Stones,2766.333333
2020-05-01,Australia,Articles of Stones,1839.666667
2020-06-01,Australia,Articles of Stones,913
2020-07-01,Australia,Articles of Stones,2717
2020-08-01,Australia,Articles of Stones,4059
2020-09-01,Australia,Articles of Stones,189
2020-10-01,Australia,Articles of Stones,360
2020-11-01,Australia,Articles of Stones,14
2020-12-01,Australia,Articles of Stones,1812.5
2021-01-01,Australia,Articles of Stones,3611
2021-02-01,Australia,Articles of Stones,5682
2021-03-01,Australia,Articles of Stones,8719
2021-04-01,Australia,Articles of Stones,11756
2021-05-01,Australia,Articles of Stones,16
2021-06-01,Australia,Articles of Stones,31385
2021-07-01,Australia,Articles of Stones,25564
2021-08-01,Australia,Articles of Stones,9649
2021-09-01,Australia,Articles of Stones,31570.5
2021-10-01,Australia,Articles of Stones,53492
2021-11-01,Australia,Articles of Stones,51817
2021-12-01,Australia,Articles of Stones,4500
2022-01-01,Australia,Articles of Stones,2482
2022-02-01,Australia,Articles of Stones,1250.5
2022-03-01,Australia,Articles of Stones,19
2022-04-01,Australia,Articles of Stones,27446
2022-05-01,Australia,Articles of Stones,137
2022-06-01,Australia,Articles of Stones,1497
2022-07-01,Australia,Articles of Stones,49815
2022-08-01,Australia,Articles of Stones,378201
2022-09-01,Australia,Articles of Stones,15978
2022-10-01,Australia,Articles of Stones,13681
2022-11-01,Australia,Articles of Stones,40108
2022-12-01,Australia,Articles of Stones,8728
2023-01-01,Australia,Articles of Stones,12302.5
2023-02-01,Australia,Articles of Stones,15877
2023-03-01,Australia,Articles of Stones,28926
2023-04-01,Australia,Articles of Stones,460
2023-05-01,Australia,Articles of Stones,8210
2023-06-01,Australia,Articles of Stones,69989
2023-07-01,Australia,Articles of Stones,337
2023-08-01,Australia,Articles of Stones,81497
2023-09-01,Australia,Articles of Stones,10853
2023-10-01,Australia,Articles of Stones,21458
2023-11-01,Australia,Articles of Stones,47416
2023-12-01,Australia,Articles of Stones,17475
2024-01-01,Australia,Articles of Stones,386
2024-02-01,Australia,Articles of Stones,186
2024-03-01,Australia,Articles of Stones,714
2024-04-01,Australia,Articles of Stones,19402
2024-05-01,Australia,Articles of Stones,38090
2024-06-01,Australia,Articles of Stones,3273
2024-07-01,Australia,Articles of Stones,13542
2024-08-01,Australia,Articles of Stones,19978
2024-09-01,Australia,Articles of Stones,1422
2024-10-01,Australia,Articles of Stones,44061
2024-11-01,Australia,Articles of Stones,30429
2024-12-01,Australia,Articles of Stones,15227
2020-01-01,Australia,Beverages,17354
2020-02-01,Australia,Beverages,24827
2020-03-01,Australia,Beverages,24028
2020-04-01,Australia,Beverages,22280.5
2020-05-01,Australia,Beverages,20533
2020-06-01,Australia,Beverages,3193
2020-07-01,Australia,Beverages,41539
2020-08-01,Australia,Beverages,17067
2020-09-01,Australia,Beverages,35027
2020-10-01,Australia,Beverages,40689
2020-11-01,Australia,Beverages,9629
2020-12-01,Australia,Beverages,72121
2021-01-01,Australia,Beverages,10833
2021-02-01,Australia,Beverages,45041
2021-03-01,Australia,Beverages,53370
2021-04-01,Australia,Beverages,54182
2021-05-01,Australia,Beverages,33159
2021-06-01,Australia,Beverages,32712
2021-07-01,Australia,Beverages,58346
2021-08-01,Australia,Beverages,66440
2021-09-01,Australia,Beverages,82986
2021-10-01,Australia,Beverages,20362
2021-11-01,Australia,Beverages,162159
2021-12-01,Australia,Beverages,25764
2022-01-01,Australia,Beverages,79284
2022-02-01,Australia,Beverages,42038
2022-03-01,Australia,Beverages,50447
2022-04-01,Australia,Beverages,55838
2022-05-01,Australia,Beverages,45407
2022-06-01,Australia,Beverages,10904
2022-07-01,Australia,Beverages,26868
2022-08-01,Australia,Beverages,67858
2022-09-01,Australia,Beverages,18030
2022-10-01,Australia,Beverages,20693
2022-11-01,Australia,Beverages,71392
2022-12-01,Australia,Beverages,53829
2023-01-01,Australia,Beverages,85851
2023-02-01,Australia,Beverages,65159
2023-03-01,Australia,Beverages,105272
2023-04-01,Australia,Beverages,20446
2023-05-01,Australia,Beverages,84949
2023-06-01,Australia,Beverages,72641
2023-07-01,Australia,Beverages,31559
2023-08-01,Australia,Beverages,83691
2023-09-01,Australia,Beverages,175580
2023-10-01,Australia,Beverages,38520
2023-11-01,Australia,Beverages,131277
2023-12-01,Australia,Beverages,79210
2024-01-01,Australia,Beverages,79279
2024-02-01,Australia,Beverages,66631
2024-03-01,Australia,Beverages,67929
2024-04-01,Australia,Beverages,12652
2024-05-01,Australia,Beverages,41002
2024-06-01,Australia,Beverages,26731
2024-07-01,Australia,Beverages,32251
2024-08-01,Australia,Beverages,45834
2024-09-01,Australia,Beverages,133961
2024-10-01,Australia,Beverages,51452
2024-11-01,Australia,Beverages,50150
2024-12-01,Australia,Beverages,82800
2020-01-01,Australia,Ceramics & Porcelain Products,87880
2020-02-01,Australia,Ceramics & Porcelain Products,15917
2020-03-01,Australia,Ceramics & Porcelain Products,25140
2020-04-01,Australia,Ceramics & Porcelain Products,2327
2020-05-01,Australia,Ceramics & Porcelain Products,71442
2020-06-01,Australia,Ceramics & Porcelain Products,42660
2020-07-01,Australia,Ceramics & Porcelain Products,68260
2020-08-01,Australia,Ceramics & Porcelain Products,28393
2020-09-01,Australia,Ceramics & Porcelain Products,50305
2020-10-01,Australia,Ceramics & Porcelain Products,64714
2020-11-01,Australia,Ceramics & Porcelain Products,47724
2020-12-01,Australia,Ceramics & Porcelain Products,126576
2021-01-01,Australia,Ceramics & Porcelain Products,26790
2021-02-01,Australia,Ceramics & Porcelain Products,66678
2021-03-01,Australia,Ceramics & Porcelain Products,11087
2021-04-01,Australia,Ceramics & Porcelain Products,7004
2021-05-01,Australia,Ceramics & Porcelain Products,50599
2021-06-01,Australia,Ceramics & Porcelain Products,29634
2021-07-01,Australia,Ceramics & Porcelain Products,25982
2021-08-01,Australia,Ceramics & Porcelain Products,94048
2021-09-01,Australia,Ceramics & Porcelain Products,43124
2021-10-01,Australia,Ceramics & Porcelain Products,19720
2021-11-01,Australia,Ceramics & Porcelain Products,70127
2021-12-01,Australia,Ceramics & Porcelain Products,52781
2022-01-01,Australia,Ceramics & Porcelain Products,1629
2022-02-01,Australia,Ceramics & Porcelain Products,39949
2022-03-01,Australia,Ceramics & Porcelain Products,53981
2022-04-01,Australia,Ceramics & Porcelain Products,67266
2022-05-01,Australia,Ceramics & Porcelain Products,78424
2022-06-01,Australia,Ceramics & Porcelain Products,113035
2022-07-01,Australia,Ceramics & Porcelain Products,70210
2022-08-01,Australia,Ceramics & Porcelain Products,186884
2022-09-01,Australia,Ceramics & Porcelain Products,75030
2022-10-01,Australia,Ceramics & Porcelain Products,152984
2022-11-01,Australia,Ceramics & Porcelain Products,34549
2022-12-01,Australia,Ceramics & Porcelain Products,15581
2023-01-01,Australia,Ceramics & Porcelain Products,102028
2023-02-01,Australia,Ceramics & Porcelain Products,61603
2023-03-01,Australia,Ceramics & Porcelain Products,5704
2023-04-01,Australia,Ceramics & Porcelain Products,19350
2023-05-01,Australia,Ceramics & Porcelain Products,26807
2023-06-01,Australia,Ceramics & Porcelain Products,29712
2023-07-01,Australia,Ceramics & Porcelain Products,76392
2023-08-01,Australia,Ceramics & Porcelain Products,33131
2023-09-01,Australia,Ceramics & Porcelain Products,101781
2023-10-01,Australia,Ceramics & Porcelain Products,31541
2023-11-01,Australia,Ceramics & Porcelain Products,19657
2023-12-01,Australia,Ceramics & Porcelain Products,65370
2024-01-01,Australia,Ceramics & Porcelain Products,5079
2024-02-01,Australia,Ceramics & Porcelain Products,81543
2024-03-01,Australia,Ceramics & Porcelain Products,22666
2024-04-01,Australia,Ceramics & Porcelain Products,6475
2024-05-01,Australia,Ceramics & Porcelain Products,15335
2024-06-01,Australia,Ceramics & Porcelain Products,61072
2024-07-01,Australia,Ceramics & Porcelain Products,114605
2024-08-01,Australia,Ceramics & Porcelain Products,21937
2024-09-01,Australia,Ceramics & Porcelain Products,58538
2024-10-01,Australia,Ceramics & Porcelain Products,26318
2024-11-01,Australia,Ceramics & Porcelain Products,70290
2024-12-01,Australia,Ceramics & Porcelain Products,16664
2020-01-01,Australia,Chemical Products,21457
2020-02-01,Australia,Chemical Products,5396
2020-03-01,Australia,Chemical Products,13324
2020-04-01,Australia,Chemical Products,20817
2020-05-01,Australia,Chemical Products,39607
2020-06-01,Australia,Chemical Products,66879
2020-07-01,Australia,Chemical Products,52914
2020-08-01,Australia,Chemical Products,84232
2020-09-01,Australia,Chemical Products,44986
2020-10-01,Australia,Chemical Products,32125
2020-11-01,Australia,Chemical Products,31504
2020-12-01,Australia,Chemical Products,79120
2021-01-01,Australia,Chemical Products,29326
2021-02-01,Australia,Chemical Products,57508
2021-03-01,Australia,Chemical Products,39625
2021-04-01,Australia,Chemical Products,21707
2021-05-01,Australia,Chemical Products,36275
2021-06-01,Australia,Chemical Products,32848
2021-07-01,Australia,Chemical Products,24297
2021-08-01,Australia,Chemical Products,56410
2021-09-01,Australia,Chemical Products,48082
2021-10-01,Australia,Chemical Products,6809
2021-11-01,Australia,Chemical Products,57525
2021-12-01,Australia,Chemical Products,27148
2022-01-01,Australia,Chemical Products,64808
2022-02-01,Australia,Chemical Products,27508
2022-03-01,Australia,Chemical Products,3279
2022-04-01,Australia,Chemical Products,39597
2022-05-01,Australia,Chemical Products,16751
2022-06-01,Australia,Chemical Products,41939
2022-07-01,Australia,Chemical Products,78905
2022-08-01,Australia,Chemical Products,22845
2022-09-01,Australia,Chemical Products,54250
2022-10-01,Australia,Chemical Products,24890
2022-11-01,Australia,Chemical Products,23519
2022-12-01,Australia,Chemical Products,12260
2023-01-01,Australia,Chemical Products,38429
2023-02-01,Australia,Chemical Products,30125
2023-03-01,Australia,Chemical Products,54859
2023-04-01,Australia,Chemical Products,23448
2023-05-01,Australia,Chemical Products,30753
2023-06-01,Australia,Chemical Products,91050
2023-07-01,Australia,Chemical Products,33929
2023-08-01,Australia,Chemical Products,35851
2023-09-01,Australia,Chemical Products,33963
2023-10-01,Australia,Chemical Products,62787
2023-11-01,Australia,Chemical Products,21553
2023-12-01,Australia,Chemical Products,15546
2024-01-01,Australia,Chemical Products,28779
2024-02-01,Australia,Chemical Products,16250
2024-03-01,Australia,Chemical Products,44901
2024-04-01,Australia,Chemical Products,16713
2024-05-01,Australia,Chemical Products,97032
2024-06-01,Australia,Chemical Products,51741
2024-07-01,Australia,Chemical Products,57633
2024-08-01,Australia,Chemical Products,18283
2024-09-01,Australia,Chemical Products,10166
2024-10-01,Australia,Chemical Products,109159
2024-11-01,Australia,Chemical Products,13924
2024-12-01,Australia,Chemical Products,31494
2020-01-01,Australia,Cinnamon,74571
2020-02-01,Australia,Cinnamon,34955
2020-03-01,Australia,Cinnamon,53740
2020-04-01,Australia,Cinnamon,17284
2020-05-01,Australia,Cinnamon,57105
2020-06-01,Australia,Cinnamon,238127
2020-07-01,Australia,Cinnamon,317223
2020-08-01,Australia,Cinnamon,80582
2020-09-01,Australia,Cinnamon,210041
2020-10-01,Australia,Cinnamon,107596
2020-11-01,Australia,Cinnamon,93567
2020-12-01,Australia,Cinnamon,148292
2021-01-01,Australia,Cinnamon,98185
2021-02-01,Australia,Cinnamon,22907
2021-03-01,Australia,Cinnamon,40944
2021-04-01,Australia,Cinnamon,128990
2021-05-01,Australia,Cinnamon,93461
2021-06-01,Australia,Cinnamon,56296
2021-07-01,Australia,Cinnamon,137345
2021-08-01,Australia,Cinnamon,61350
2021-09-01,Australia,Cinnamon,236234
2021-10-01,Australia,Cinnamon,203532
2021-11-01,Australia,Cinnamon,57700
2021-12-01,Australia,Cinnamon,99841
2022-01-01,Australia,Cinnamon,132224
2022-02-01,Australia,Cinnamon,8991
2022-03-01,Australia,Cinnamon,3528
2022-04-01,Australia,Cinnamon,33163
2022-05-01,Australia,Cinnamon,194589
2022-06-01,Australia,Cinnamon,108649
2022-07-01,Australia,Cinnamon,18950
2022-08-01,Australia,Cinnamon,155337
2022-09-01,Australia,Cinnamon,94867
2022-10-01,Australia,Cinnamon,71740
2022-11-01,Australia,Cinnamon,48689
2022-12-01,Australia,Cinnamon,32619
2023-01-01,Australia,Cinnamon,105597
2023-02-01,Australia,Cinnamon,76662
2023-03-01,Australia,Cinnamon,77984
2023-04-01,Australia,Cinnamon,27179
2023-05-01,Australia,Cinnamon,32486
2023-06-01,Australia,Cinnamon,136227
2023-07-01,Australia,Cinnamon,16120
2023-08-01,Australia,Cinnamon,144689
2023-09-01,Australia,Cinnamon,77293
2023-10-01,Australia,Cinnamon,44682
2023-11-01,Australia,Cinnamon,168917
2023-12-01,Australia,Cinnamon,55399
2024-01-01,Australia,Cinnamon,101520
2024-02-01,Australia,Cinnamon,35694
2024-03-01,Australia,Cinnamon,44685
2024-04-01,Australia,Cinnamon,123271
2024-05-01,Australia,Cinnamon,52003
2024-06-01,Australia,Cinnamon,18958
2024-07-01,Australia,Cinnamon,86998
2024-08-01,Australia,Cinnamon,140648
2024-09-01,Australia,Cinnamon,51911
2024-10-01,Australia,Cinnamon,100698
2024-11-01,Australia,Cinnamon,77144
2024-12-01,Australia,Cinnamon,106300
2020-01-01,Australia,Cloves,25456
2020-02-01,Australia,Cloves,498
2020-03-01,Australia,Cloves,557
2020-04-01,Australia,Cloves,3127
2020-05-01,Australia,Cloves,13579
2020-06-01,Australia,Cloves,24031
2020-07-01,Australia,Cloves,791
2020-08-01,Australia,Cloves,8149
2020-09-01,Australia,Cloves,831
2020-10-01,Australia,Cloves,26388
2020-11-01,Australia,Cloves,5419
2020-12-01,Australia,Cloves,5435
2021-01-01,Australia,Cloves,10112
2021-02-01,Australia,Cloves,1380
2021-03-01,Australia,Cloves,2929
2021-04-01,Australia,Cloves,8612.5
2021-05-01,Australia,Cloves,14296
2021-06-01,Australia,Cloves,1081
2021-07-01,Australia,Cloves,225
2021-08-01,Australia,Cloves,7416
2021-09-01,Australia,Cloves,9540
2021-10-01,Australia,Cloves,220
2021-11-01,Australia,Cloves,525
2021-12-01,Australia,Cloves,20451
2022-01-01,Australia,Cloves,4035
2022-02-01,Australia,Cloves,111
2022-03-01,Australia,Cloves,13720
2022-04-01,Australia,Cloves,348
2022-05-01,Australia,Cloves,1547.5
2022-06-01,Australia,Cloves,2747
2022-07-01,Australia,Cloves,153
2022-08-01,Australia,Cloves,3129
2022-09-01,Australia,Cloves,837
2022-10-01,Australia,Cloves,4302
2022-11-01,Australia,Cloves,7767
2022-12-01,Australia,Cloves,3847
2023-01-01,Australia,Cloves,36062
2023-02-01,Australia,Cloves,1081
2023-03-01,Australia,Cloves,20889
2023-04-01,Australia,Cloves,236
2023-05-01,Australia,Cloves,1633
2023-06-01,Australia,Cloves,162
2023-07-01,Australia,Cloves,1901
2023-08-01,Australia,Cloves,27188
2023-09-01,Australia,Cloves,3935
2023-10-01,Australia,Cloves,4487
2023-11-01,Australia,Cloves,24064
2023-12-01,Australia,Cloves,1247
2024-01-01,Australia,Cloves,58134
2024-02-01,Australia,Cloves,1887
2024-03-01,Australia,Cloves,466
2024-04-01,Australia,Cloves,813
2024-05-01,Australia,Cloves,1787
2024-06-01,Australia,Cloves,1530
2024-07-01,Australia,Cloves,3376
2024-08-01,Australia,Cloves,287
2024-09-01,Australia,Cloves,2527
2024-10-01,Australia,Cloves,14230
2024-11-01,Australia,Cloves,28245
2024-12-01,Australia,Cloves,860
2020-01-01,Australia,Coconut Fiber Products,137171
2020-02-01,Australia,Coconut Fiber Products,285666
2020-03-01,Australia,Coconut Fiber Products,522586
2020-04-01,Australia,Coconut Fiber Products,388262
2020-05-01,Australia,Coconut Fiber Products,496822
2020-06-01,Australia,Coconut Fiber Products,669354
2020-07-01,Australia,Coconut Fiber Products,477994
2020-08-01,Australia,Coconut Fiber Products,529730
2020-09-01,Australia,Coconut Fiber Products,510784
2020-10-01,Australia,Coconut Fiber Products,308254
2020-11-01,Australia,Coconut Fiber Products,340964
2020-12-01,Australia,Coconut Fiber Products,337877
2021-01-01,Australia,Coconut Fiber Products,343169
2021-02-01,Australia,Coconut Fiber Products,663793
2021-03-01,Australia,Coconut Fiber Products,1010267
2021-04-01,Australia,Coconut Fiber Products,498918
2021-05-01,Australia,Coconut Fiber Products,588245
2021-06-01,Australia,Coconut Fiber Products,791046
2021-07-01,Australia,Coconut Fiber Products,658732
2021-08-01,Australia,Coconut Fiber Products,707114
2021-09-01,Australia,Coconut Fiber Products,539583
2021-10-01,Australia,Coconut Fiber Products,395313
2021-11-01,Australia,Coconut Fiber Products,449147
2021-12-01,Australia,Coconut Fiber Products,385187
2022-01-01,Australia,Coconut Fiber Products,590410
2022-02-01,Australia,Coconut Fiber Products,392560
2022-03-01,Australia,Coconut Fiber Products,811531
2022-04-01,Australia,Coconut Fiber Products,988816
2022-05-01,Australia,Coconut Fiber Products,666750
2022-06-01,Australia,Coconut Fiber Products,558754
2022-07-01,Australia,Coconut Fiber Products,353439
2022-08-01,Australia,Coconut Fiber Products,715297
2022-09-01,Australia,Coconut Fiber Products,710804
2022-10-01,Australia,Coconut Fiber Products,302436
2022-11-01,Australia,Coconut Fiber Products,203919
2022-12-01,Australia,Coconut Fiber Products,188470
2023-01-01,Australia,Coconut Fiber Products,477161
2023-02-01,Australia,Coconut Fiber Products,371991
2023-03-01,Australia,Coconut Fiber Products,921196
2023-04-01,Australia,Coconut Fiber Products,477461
2023-05-01,Australia,Coconut Fiber Products,590517
2023-06-01,Australia,Coconut Fiber Products,464321
2023-07-01,Australia,Coconut Fiber Products,403175
2023-08-01,Australia,Coconut Fiber Products,324032
2023-09-01,Australia,Coconut Fiber Products,328260
2023-10-01,Australia,Coconut Fiber Products,262809
2023-11-01,Australia,Coconut Fiber Products,281722
2023-12-01,Australia,Coconut Fiber Products,205822
2024-01-01,Australia,Coconut Fiber Products,139742
2024-02-01,Australia,Coconut Fiber Products,322070
2024-03-01,Australia,Coconut Fiber Products,835126
2024-04-01,Australia,Coconut Fiber Products,615928
2024-05-01,Australia,Coconut Fiber Products,631004
2024-06-01,Australia,Coconut Fiber Products,462038
2024-07-01,Australia,Coconut Fiber Products,349946
2024-08-01,Australia,Coconut Fiber Products,308248
2024-09-01,Australia,Coconut Fiber Products,199016
2024-10-01,Australia,Coconut Fiber Products,288377
2024-11-01,Australia,Coconut Fiber Products,190000
2024-12-01,Australia,Coconut Fiber Products,271503
2020-01-01,Australia,Coconut Kernel Products,1060196
2020-02-01,Australia,Coconut Kernel Products,1358653
2020-03-01,Australia,Coconut Kernel Products,1181394
2020-04-01,Australia,Coconut Kernel Products,609369
2020-05-01,Australia,Coconut Kernel Products,1757859
2020-06-01,Australia,Coconut Kernel Products,1673428
2020-07-01,Australia,Coconut Kernel Products,1764037
2020-08-01,Australia,Coconut Kernel Products,1826376
2020-09-01,Australia,Coconut Kernel Products,1506488
2020-10-01,Australia,Coconut Kernel Products,1778079
2020-11-01,Australia,Coconut Kernel Products,1432259
2020-12-01,Australia,Coconut Kernel Products,1729443
2021-01-01,Australia,Coconut Kernel Products,972543
2021-02-01,Australia,Coconut Kernel Products,1806127
2021-03-01,Australia,Coconut Kernel Products,2072811
2021-04-01,Australia,Coconut Kernel Products,1611289
2021-05-01,Australia,Coconut Kernel Products,1116191
2021-06-01,Australia,Coconut Kernel Products,1500315
2021-07-01,Australia,Coconut Kernel Products,2223636
2021-08-01,Australia,Coconut Kernel Products,2353377
2021-09-01,Australia,Coconut Kernel Products,1810509
2021-10-01,Australia,Coconut Kernel Products,2111632
2021-11-01,Australia,Coconut Kernel Products,2176013
2021-12-01,Australia,Coconut Kernel Products,1905548
2022-01-01,Australia,Coconut Kernel Products,1323773
2022-02-01,Australia,Coconut Kernel Products,1255349
2022-03-01,Australia,Coconut Kernel Products,1294074
2022-04-01,Australia,Coconut Kernel Products,1108759
2022-05-01,Australia,Coconut Kernel Products,1332057
2022-06-01,Australia,Coconut Kernel Products,1460265
2022-07-01,Australia,Coconut Kernel Products,1070778
2022-08-01,Australia,Coconut Kernel Products,1753470
